company_id,company_name,finished_product_id,finished_product_sku,source_key,candidate_key,source_display_name,candidate_display_name,recommendation_class,acceptability,decision_path,missing_information,contradictions,caveats,rationale,citations,substitute_score,llm_model,generated_at
27,Liquid I.V.,7,FG-iherb-105065,vitamin-b12-cyanocobalamin,cyanocobalamin,vitamin b12 cyanocobalamin,cyanocobalamin,recommend,0.85,rules,[],[],[],"recommend at acceptability=0.85 (grounded=6/6, contradictions=none, missing=none)","[""https://legerepharm.com/blog/comparing-forms-of-vitamin-b12-cyanocobalamin-vs-methylcobalamin-for-clinical-use/"", ""https://www.sigmaaldrich.com/US/en/product/sial/phr1234?srsltid=AfmBOoom00qmwIj9PcZMNTgd232hSibtYJ8gH4KBT1EDbkIghlmtme-0"", ""https://www.ncbi.nlm.nih.gov/books/NBK555964/"", ""https://www.thomasnet.com/suppliers/usa/cyanocobalamin-97002300"", ""https://www.sciencedirect.com/topics/biochemistry-genetics-and-molecular-biology/cyanocobalamin"", ""https://www.pharmacychecker.com/cyanocobalamin/""]",0.9003,,2026-04-18T07:06:25.084345+00:00
27,Liquid I.V.,7,FG-iherb-105065,vitamin-b12-cyanocobalamin,cyanocobalamin-vitamin-b12,vitamin b12 cyanocobalamin,cyanocobalamin vitamin b12,recommend,0.88,rules,"[""typical_suppliers"", ""quality_sensory"", ""price_availability""]",[],[],"recommend at acceptability=0.88 (grounded=3/3, contradictions=none, missing=typical_suppliers, quality_sensory, price_availability)","[""https://en.wikipedia.org/wiki/Cyanocobalamin"", ""https://www.healthline.com/nutrition/methylcobalamin-vs-cyanocobalamin"", ""https://www.spectrumchemical.com/media/sd/C1454_SD.pdf?srsltid=AfmBOoqcJL3ln7jxnSwKvmColUyi1cgQpt66ykREObaXjnDECsns8mrC"", ""https://www.richtekltd.com/FishOil_05_0620301_07_07291"", ""https://goodtoknowfacts.org/ingredient/vitamin-b12-cyanocobalamin"", ""https://pmc.ncbi.nlm.nih.gov/articles/PMC7009413/""]",0.9794,,2026-04-18T07:06:25.084517+00:00
27,Liquid I.V.,7,FG-iherb-105065,vitamin-b12-cyanocobalamin,vitamin-b12,vitamin b12 cyanocobalamin,vitamin b12,recommend,0.8133,rules,"[""typical_suppliers"", ""quality_sensory"", ""price_availability""]",[],[],"recommend at acceptability=0.81 (grounded=3/3, contradictions=none, missing=typical_suppliers, quality_sensory, price_availability)","[""https://legerepharm.com/blog/comparing-forms-of-vitamin-b12-cyanocobalamin-vs-methylcobalamin-for-clinical-use/"", ""https://www.accio.com/plp/halal-b12-vitamins"", ""https://www.fda.gov/media/117106/download""]",0.9319,,2026-04-18T07:06:25.084620+00:00
27,Liquid I.V.,36,FG-walmart-270357039,vitamin-b12-cyanocobalamin,cyanocobalamin,vitamin b12 cyanocobalamin,cyanocobalamin,recommend,0.85,rules,[],[],[],"recommend at acceptability=0.85 (grounded=6/6, contradictions=none, missing=none)","[""https://legerepharm.com/blog/comparing-forms-of-vitamin-b12-cyanocobalamin-vs-methylcobalamin-for-clinical-use/"", ""https://www.sigmaaldrich.com/US/en/product/sial/phr1234?srsltid=AfmBOoom00qmwIj9PcZMNTgd232hSibtYJ8gH4KBT1EDbkIghlmtme-0"", ""https://www.ncbi.nlm.nih.gov/books/NBK555964/"", ""https://www.thomasnet.com/suppliers/usa/cyanocobalamin-97002300"", ""https://www.sciencedirect.com/topics/biochemistry-genetics-and-molecular-biology/cyanocobalamin"", ""https://www.pharmacychecker.com/cyanocobalamin/""]",0.9003,,2026-04-18T07:06:25.084712+00:00
27,Liquid I.V.,36,FG-walmart-270357039,vitamin-b12-cyanocobalamin,cyanocobalamin-vitamin-b12,vitamin b12 cyanocobalamin,cyanocobalamin vitamin b12,recommend,0.88,rules,"[""typical_suppliers"", ""quality_sensory"", ""price_availability""]",[],[],"recommend at acceptability=0.88 (grounded=3/3, contradictions=none, missing=typical_suppliers, quality_sensory, price_availability)","[""https://en.wikipedia.org/wiki/Cyanocobalamin"", ""https://www.healthline.com/nutrition/methylcobalamin-vs-cyanocobalamin"", ""https://www.spectrumchemical.com/media/sd/C1454_SD.pdf?srsltid=AfmBOoqcJL3ln7jxnSwKvmColUyi1cgQpt66ykREObaXjnDECsns8mrC"", ""https://www.richtekltd.com/FishOil_05_0620301_07_07291"", ""https://goodtoknowfacts.org/ingredient/vitamin-b12-cyanocobalamin"", ""https://pmc.ncbi.nlm.nih.gov/articles/PMC7009413/""]",0.9794,,2026-04-18T07:06:25.084793+00:00
27,Liquid I.V.,36,FG-walmart-270357039,vitamin-b12-cyanocobalamin,vitamin-b12,vitamin b12 cyanocobalamin,vitamin b12,recommend,0.8133,rules,"[""typical_suppliers"", ""quality_sensory"", ""price_availability""]",[],[],"recommend at acceptability=0.81 (grounded=3/3, contradictions=none, missing=typical_suppliers, quality_sensory, price_availability)","[""https://legerepharm.com/blog/comparing-forms-of-vitamin-b12-cyanocobalamin-vs-methylcobalamin-for-clinical-use/"", ""https://www.accio.com/plp/halal-b12-vitamins"", ""https://www.fda.gov/media/117106/download""]",0.9319,,2026-04-18T07:06:25.084873+00:00
27,Liquid I.V.,101,FG-target-a-81806945,vitamin-b12-cyanocobalamin,cyanocobalamin,vitamin b12 cyanocobalamin,cyanocobalamin,recommend,0.85,rules,[],[],[],"recommend at acceptability=0.85 (grounded=6/6, contradictions=none, missing=none)","[""https://legerepharm.com/blog/comparing-forms-of-vitamin-b12-cyanocobalamin-vs-methylcobalamin-for-clinical-use/"", ""https://www.sigmaaldrich.com/US/en/product/sial/phr1234?srsltid=AfmBOoom00qmwIj9PcZMNTgd232hSibtYJ8gH4KBT1EDbkIghlmtme-0"", ""https://www.ncbi.nlm.nih.gov/books/NBK555964/"", ""https://www.thomasnet.com/suppliers/usa/cyanocobalamin-97002300"", ""https://www.sciencedirect.com/topics/biochemistry-genetics-and-molecular-biology/cyanocobalamin"", ""https://www.pharmacychecker.com/cyanocobalamin/""]",0.9003,,2026-04-18T07:06:25.084948+00:00
27,Liquid I.V.,101,FG-target-a-81806945,vitamin-b12-cyanocobalamin,cyanocobalamin-vitamin-b12,vitamin b12 cyanocobalamin,cyanocobalamin vitamin b12,recommend,0.88,rules,"[""typical_suppliers"", ""quality_sensory"", ""price_availability""]",[],[],"recommend at acceptability=0.88 (grounded=3/3, contradictions=none, missing=typical_suppliers, quality_sensory, price_availability)","[""https://en.wikipedia.org/wiki/Cyanocobalamin"", ""https://www.healthline.com/nutrition/methylcobalamin-vs-cyanocobalamin"", ""https://www.spectrumchemical.com/media/sd/C1454_SD.pdf?srsltid=AfmBOoqcJL3ln7jxnSwKvmColUyi1cgQpt66ykREObaXjnDECsns8mrC"", ""https://www.richtekltd.com/FishOil_05_0620301_07_07291"", ""https://goodtoknowfacts.org/ingredient/vitamin-b12-cyanocobalamin"", ""https://pmc.ncbi.nlm.nih.gov/articles/PMC7009413/""]",0.9794,,2026-04-18T07:06:25.085032+00:00
27,Liquid I.V.,101,FG-target-a-81806945,vitamin-b12-cyanocobalamin,vitamin-b12,vitamin b12 cyanocobalamin,vitamin b12,recommend,0.8133,rules,"[""typical_suppliers"", ""quality_sensory"", ""price_availability""]",[],[],"recommend at acceptability=0.81 (grounded=3/3, contradictions=none, missing=typical_suppliers, quality_sensory, price_availability)","[""https://legerepharm.com/blog/comparing-forms-of-vitamin-b12-cyanocobalamin-vs-methylcobalamin-for-clinical-use/"", ""https://www.accio.com/plp/halal-b12-vitamins"", ""https://www.fda.gov/media/117106/download""]",0.9319,,2026-04-18T07:06:25.085115+00:00
27,Liquid I.V.,129,FG-walgreens-300447518,vitamin-b12-cyanocobalamin,cyanocobalamin,vitamin b12 cyanocobalamin,cyanocobalamin,recommend,0.85,rules,[],[],[],"recommend at acceptability=0.85 (grounded=6/6, contradictions=none, missing=none)","[""https://legerepharm.com/blog/comparing-forms-of-vitamin-b12-cyanocobalamin-vs-methylcobalamin-for-clinical-use/"", ""https://www.sigmaaldrich.com/US/en/product/sial/phr1234?srsltid=AfmBOoom00qmwIj9PcZMNTgd232hSibtYJ8gH4KBT1EDbkIghlmtme-0"", ""https://www.ncbi.nlm.nih.gov/books/NBK555964/"", ""https://www.thomasnet.com/suppliers/usa/cyanocobalamin-97002300"", ""https://www.sciencedirect.com/topics/biochemistry-genetics-and-molecular-biology/cyanocobalamin"", ""https://www.pharmacychecker.com/cyanocobalamin/""]",0.9003,,2026-04-18T07:06:25.085187+00:00
